n_hold,k_trade,total_return,annual_return,sharpe,max_drawdown,daily_win_rate,turnover,long_return,short_return,objective
30,1,0.5979709575594798,0.4335091932217867,1.6048452119213197,-0.184100542746918,0.6036585365853658,133.73546067677282,0.5979709575594798,0.0,1.9480092809094973
20,2,0.5883367833741284,0.4268644716826506,1.5351895109332376,-0.20671433472800138,0.6280487804878049,188.07454113650826,0.5883367833741284,0.0,1.5647760372709514
20,1,0.5331281196534754,0.38860448834594297,1.4417145094873702,-0.1955660541486025,0.5975609756097561,153.12347814123737,0.5331281196534754,0.0,1.546787303939532
30,2,0.5172816998840155,0.37756421244884697,1.431495116167607,-0.20256789549423748,0.6219512195121951,161.10568415068946,0.5172816998840155,0.0,1.457962199687953
15,2,0.5360042747895022,0.3906054777645678,1.3841768585487542,-0.23453607494567086,0.6067073170731707,210.91570515287935,0.5360042747895022,0.0,1.1670708074176912
30,3,0.4881699402264368,0.3572119469027977,1.2916111711910647,-0.20149098154960765,0.6189024390243902,188.85774611183436,0.4881699402264368,0.0,1.1221713395351587
15,1,0.41847651793392826,0.30810874035691227,1.1700980386804811,-0.21673039453563037,0.600609756097561,170.18421915103465,0.41847651793392826,0.0,0.9393995842575341
20,3,0.4727295678482628,0.3463800736814877,1.2536825848552704,-0.21456650216909723,0.6067073170731707,211.5756208628106,0.4727295678482628,0.0,0.9266971140686457
10,2,0.4853296622704253,0.3552213708279046,1.266495321079681,-0.24007773990329062,0.6067073170731707,239.76657675025146,0.4853296622704253,0.0,0.7982440219659837
15,3,0.47180711255765906,0.34573211365529577,1.2329929739966266,-0.22693470933153104,0.6067073170731707,241.32675398878825,0.47180711255765906,0.0,0.7430387198364721
10,3,0.4693536598396484,0.34400827731874983,1.2174296418309771,-0.2269352806394257,0.6067073170731707,277.15134440972776,0.4693536598396484,0.0,0.5434449588222097
10,1,0.3225595479321943,0.2396024809396502,0.9444955906268554,-0.2352784337767988,0.5975609756097561,193.21863765729557,0.3225595479321943,0.0,0.3882430644279672
